STATISTIC,Statistic Label,YEAR,Year,FUNCTION,Type of function,BEDTYPE,Bed type,UNIT,VALUE,FLAG,Flag
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,OTHER,Beds for other care function,SOM,Somatic care type beds,Number,0,,
